date,total_cases
2021-12-14,50214287
2021-12-15,50361348
2021-12-16,50525186
2021-12-17,50682070
2021-12-18,50771465
2021-12-19,50876515
2021-12-20,51146076
2021-12-21,51352686
2021-12-22,51596392
2021-12-23,51875408
2021-12-24,52117081
2021-12-25,52250193
2021-12-26,52468369
2021-12-27,52936053
2021-12-28,53334068
2021-12-29,53823113
2021-12-30,54423030
2021-12-31,54895646
2022-01-01,55199093
